USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.2  50220 42028 ?        Ss   Dec11   2:57 /usr/lib/systemd/systemd --switched-root --system --deserialize=43 rhgb
root           2  0.0  0.0      0     0 ?        S    Dec11   0:00 [kthreadd]
root           3  0.0  0.0      0     0 ?        S    Dec11   0:00 [pool_workqueue_release]
root           4  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/R-rcu_gp]
root           5  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/R-sync_wq]
root           6  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/R-slub_flushwq]
root           7  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/R-netns]
root           9  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/0:0H-kblockd]
root          12  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/R-mm_percpu_wq]
root          14  0.0  0.0      0     0 ?        I    Dec11   0:00 [rcu_tasks_kthread]
root          15  0.0  0.0      0     0 ?        I    Dec11   0:00 [rcu_tasks_rude_kthread]
root          16  0.0  0.0      0     0 ?        I    Dec11   0:00 [rcu_tasks_trace_kthread]
root          17  0.0  0.0      0     0 ?        S    Dec11   0:01 [ksoftirqd/0]
root          18  0.0  0.0      0     0 ?        I    Dec11   0:56 [rcu_preempt]
root          19  0.0  0.0      0     0 ?        S    Dec11   0:00 [rcu_exp_par_gp_kthread_worker/0]
root          20  0.0  0.0      0     0 ?        S    Dec11   0:00 [rcu_exp_gp_kthread_worker]
root          21  0.0  0.0      0     0 ?        S    Dec11   0:01 [migration/0]
root          22  0.0  0.0      0     0 ?        S    Dec11   0:00 [idle_inject/0]
root          23  0.0  0.0      0     0 ?        S    Dec11   0:00 [cpuhp/0]
root          24  0.0  0.0      0     0 ?        S    Dec11   0:00 [cpuhp/1]
root          25  0.0  0.0      0     0 ?        S    Dec11   0:00 [idle_inject/1]
root          26  0.0  0.0      0     0 ?        S    Dec11   0:01 [migration/1]
root          27  0.0  0.0      0     0 ?        S    Dec11   0:00 [ksoftirqd/1]
root          29  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/1:0H-events_highpri]
root          30  0.0  0.0      0     0 ?        S    Dec11   0:00 [cpuhp/2]
root          31  0.0  0.0      0     0 ?        S    Dec11   0:00 [idle_inject/2]
root          32  0.0  0.0      0     0 ?        S    Dec11   0:01 [migration/2]
root          33  0.0  0.0      0     0 ?        S    Dec11   0:00 [ksoftirqd/2]
root          35  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/2:0H-events_highpri]
